ID,FAULT_TYPE,POLYGON_AREA [ha],CENTER_POLYGON_X,CENTER_POLYGON_Y
380,Rock Slide,9.1841,-72.95474220792562,-45.40036943937859
381,Rock Slide,13.63455,-72.95423049395205,-45.395657354224554
382,Rock Slide,46.93111,-72.94382795459849,-45.39789896767524
383,Rock Slide,20.79729,-72.94546826929087,-45.39319839510532
384,Rock Slide,1.84961,-72.94666455558625,-45.40462119990099
385,Rock Slide,0.23569,-72.90312013620368,-45.39509308102087
386,Rock Slide,2.55177,-72.91030814147105,-45.39820205592936
387,Rock Slide,6.96251,-72.90526206081746,-45.39292326132508
388,Rock Slide,7.70418,-72.90793293740516,-45.396666720992684
389,Rock Slide,25.90821,-72.91480729908633,-45.3923408760161
390,Rock Slide,2.28436,-72.91619649177643,-45.38958607201505
391,Rock Slide,10.04099,-72.91961033584751,-45.394711240069206
392,Rock Slide,1.97905,-72.92453537801498,-45.39315715012604
393,Rock Slide,0.74845,-72.92820012843717,-45.39390614935953
394,Rock Slide,2.62074,-72.92736370417974,-45.40522307912385
395,Rock Slide,1.71078,-72.92569879078187,-45.40304617975585
396,Rock Slide,7.09511,-72.92472979210892,-45.39917509606066
397,Rock Slide,5.20767,-72.88328849579584,-45.389046017324084
398,Rock Slide,12.61413,-72.89064298627513,-45.40735941861079
399,Rock Slide,0.77608,-72.88535671071061,-45.40592358285652
400,Rock Slide,26.64244,-72.89266518532109,-45.40194533030498
401,Rock Slide,5.24411,-72.88369270436249,-45.40123475338635
402,Rock Slide,12.97926,-72.88641061843812,-45.39873756046032
403,Rock Slide,11.68091,-72.88846195705551,-45.397757455205415
404,Rock Slide,19.33931,-72.89119854565669,-45.39530747710111
405,Rock Slide,11.43293,-72.8890629232248,-45.393495660991306
406,Rock Slide,18.65998,-72.88811358158378,-45.39107830454097
407,Rock Slide,2.15884,-72.88024158842674,-45.38847734604691
408,Rock Slide,0.73306,-72.92109607210249,-45.41874246523701
409,Rock Slide,1.74888,-72.9213368186271,-45.41584946767105
410,Rock Slide,0.739,-72.89346776411159,-45.4152748522863
411,Rock Slide,0.08123,-72.89165832854331,-45.41351425556302
412,Rock Slide,0.3751,-72.86891899752828,-45.384406266015425
413,Rock Slide,0.66082,-72.86666233688183,-45.382831531092606
414,Rock Slide,0.3267,-72.86592730045943,-45.380649213977435
415,Rock Slide,0.22374,-72.8663645663932,-45.38374444219709
416,Rock Slide,10.31171,-72.88163216863212,-45.37841833722851
417,Rock Slide,0.58261,-72.77341329344799,-45.390704869405226
418,Rock Slide,1.5957,-72.77297314221317,-45.392826132212825
419,Rock Slide,0.82317,-72.76901170557211,-45.39297751598403
420,Rock Slide,0.3194,-72.76261542059066,-45.394053088420286
421,Rock Slide,0.86711,-72.75160797417503,-45.39709315360406
422,Rock Slide,1.39962,-72.7570036762912,-45.393731929139044
423,Rock Slide,2.78039,-72.72436319767185,-45.4000912073675
424,Rock Slide,3.62047,-72.72517665352991,-45.39707644447902
425,Rock slide/Avalancha,2.32421,-73.00309992488243,-45.38241273330225
426,Rock slide/Avalancha,99.0833,-73.00094932211175,-45.38155278777891
427,Rock slide/Avalancha,1.467,-73.0203966176567,-45.383187047673154
428,Rock slide/Avalancha,11.13574,-73.0345758327954,-45.35398646494698
429,Rock slide/Avalancha,0.63381,-72.96974547424897,-45.331323443704136
430,Rock slide/Avalancha,3.06181,-73.1865493348493,-45.232723183068344
431,Rock slide/Avalancha,7.6033,-73.18405443250997,-45.23641096498267
