user,tipo_informe,num_informe,fecha_update,mes,region,provincia,comuna,tipo_alerta,motivo_alerta,num_cierre,fecha_cierre,alert_code,detalle
BCG,Técnico,004,02/01/2018,Enero,Los Lagos,No value,-,Meteorológica,Evento meterológico,004-A,05/01/2018,3,Evento meteorológico
VMT,Técnico,005,02/01/2018,Enero,Valparaíso,No value,Hijuelas,Forestal,Incendio forestal,005-A,02/01/2018,1,Incendio forestal
VMT,Técnico,006,02/01/2018,Enero,Coquimbo,No value,-,Forestal,Alta probabilidad para la propagación de incendios forestales,006-A,09/01/2018,3,Alta probabiliad
CBC,Técnico,005-A,02/01/2018,Enero,Valparaíso,No value,Hijuelas,Forestal,Incendio forestal,005-C,04/01/2018,1,Incendio forestal
VMT,Técnico,009,03/01/2018,Enero,Antofagasta,No value,Ollagüe,Meteorológica,Evento meterológico,009-E,13/01/2018,1,Evento meteorológico
VMT,Técnico,009,03/01/2018,Enero,Antofagasta,No value,San Pedro de Atacama,Meteorológica,Evento meterológico,009-E,13/01/2018,1,Evento meteorológico
VMT,Técnico,009,03/01/2018,Enero,Antofagasta,No value,Calama,Meteorológica,Evento meterológico,009-E,13/01/2018,1,Evento meteorológico
VMT,Técnico,009,03/01/2018,Enero,Antofagasta,No value,Antofagasta,Meteorológica,Evento meterológico,009-E,13/01/2018,1,Evento meteorológico
VMT,Técnico,011,04/01/2018,Enero,Metropolitana,No value,Alhué,Forestal,Incendio forestal,011-A,05/01/2018,1,Incendio forestal
VMT,Técnico,012,04/01/2018,Enero,Metropolitana,No value,Colina,Forestal,Incendio forestal,012-A,04/01/2018,1,Incendio forestal
VMT,Técnico,013,04/01/2018,Enero,Atacama,No value,Diego de Almagro,Meteorológica,Evento meterológico,013-C,09/01/2018,1,Evento meteorológico
VMT,Técnico,013,04/01/2018,Enero,Atacama,No value,Copiapó,Meteorológica,Evento meterológico,013-C,09/01/2018,1,Evento meteorológico
VMT,Técnico,013,04/01/2018,Enero,Atacama,No value,Tierra Amarilla,Meteorológica,Evento meterológico,013-C,09/01/2018,1,Evento meteorológico
VMT,Técnico,013,04/01/2018,Enero,Atacama,No value,Alto del Carmen,Meteorológica,Evento meterológico,013-C,09/01/2018,1,Evento meteorológico
VMT,Técnico,014,04/01/2018,Enero,Valparaíso,No value,-,Forestal,Altas temperaturas (alta probabilidad para la propagación de incendios forestales),014-B,07/01/2018,3,Altas temperaturas (alta probabilidad para la propagación de incendios forestales)
VMT,Técnico,015,04/01/2018,Enero,O'Higgins,No value,-,Forestal,Altas temperaturas (alta probabilidad para la propagación de incendios forestales),015-B,08/01/2018,3,Altas temperaturas (alta probabilidad para la propagación de incendios forestales)
VMT,Técnico,016,04/01/2018,Enero,Metropolitana,No value,-,Forestal,Altas temperaturas (alta probabilidad para la propagación de incendios forestales),016-C,07/01/2018,3,Altas temperaturas (alta probabilidad para la propagación de incendios forestales)
VMT,Técnico,017,04/01/2018,Enero,La Araucanía,No value,-,Forestal,Altas temperaturas (alta probabilidad para la propagación de incendios forestales),017-A,08/01/2018,2,Altas temperaturas (alta probabilidad para la propagación de incendios forestales)
BCG,ATR,***,05/01/2018,Enero,La Araucanía,No value,Villarrica,Volcánica,Actividad del Volcán Villarrica,Vigente,Vigente,1,Actividad Volcán Villarrica
BCG,ATR,***,05/01/2018,Enero,La Araucanía,No value,Pucón,Volcánica,Actividad del Volcán Villarrica,Vigente,Vigente,1,Actividad Volcán Villarrica
BCG,ATR,***,05/01/2018,Enero,La Araucanía,No value,Curarrehue,Volcánica,Actividad del Volcán Villarrica,Vigente,Vigente,1,Actividad Volcán Villarrica
BCG,ATR,***,05/01/2018,Enero,Los Ríos,No value,Panguipulli,Volcánica,Actividad del Volcán Villarrica,Vigente,Vigente,1,Actividad Volcán Villarrica
VMT,Técnico,022,05/01/2018,Enero,Maule,No value,-,Forestal,Altas temperaturas (alta probabilidad para la propagación de incendios forestales),022-A,08/01/2018,3,Altas temperaturas (alta probabilidad para la propagación de incendios forestales)
VMT,Técnico,023,05/01/2018,Enero,Biobío,No value,-,Forestal,Altas temperaturas (alta probabilidad para la propagación de incendios forestales),095-A,28/01/2018,3,Altas temperaturas (alta probabilidad para la propagación de incendios forestales)
CBC,Técnico,025,06/01/2018,Enero,Coquimbo,No value,La Higuera,Meteorológica,Evento meterológico,025-A,06/01/2018,1,Evento meteorológico
CBC,Técnico,025,06/01/2018,Enero,Coquimbo,No value,Vicuña,Meteorológica,Evento meterológico,025-A,06/01/2018,1,Evento meteorológico
CBC,Técnico,025,06/01/2018,Enero,Coquimbo,No value,Paihuano,Meteorológica,Evento meterológico,025-A,06/01/2018,1,Evento meteorológico
CBC,Técnico,025,06/01/2018,Enero,Coquimbo,No value,Río Hurtado,Meteorológica,Evento meterológico,025-A,06/01/2018,1,Evento meteorológico
CBC,Técnico,025,06/01/2018,Enero,Coquimbo,No value,Monte Patria,Meteorológica,Evento meterológico,025-A,06/01/2018,1,Evento meteorológico
CBC,Técnico,025,06/01/2018,Enero,Coquimbo,No value,Combarbalá,Meteorológica,Evento meterológico,025-A,06/01/2018,1,Evento meteorológico
CBC,Técnico,025,06/01/2018,Enero,Coquimbo,No value,Salamanca,Meteorológica,Evento meterológico,025-A,06/01/2018,1,Evento meteorológico
CPL,Técnico,026,06/01/2018,Enero,Biobío,No value,-,Forestal,Incendio forestal,026-B,10/01/2018,2,Incendio forestal
CPL,Técnico,027,06/01/2018,Enero,Biobío,No value,Portezuelo,Forestal,Incendio forestal,027-B,07/01/2018,1,Incendio forestal
CPL,Técnico,025-A,06/01/2018,Enero,Coquimbo,No value,La Higuera,Meteorológica,Evento meterológico,025-C,09/01/2018,1,Evento meteorológico
CPL,Técnico,025-A,06/01/2018,Enero,Coquimbo,No value,Vicuña,Meteorológica,Evento meterológico,025-C,09/01/2018,1,Evento meteorológico
CPL,Técnico,025-A,06/01/2018,Enero,Coquimbo,No value,Paihuano,Meteorológica,Evento meterológico,025-C,09/01/2018,1,Evento meteorológico
CPL,Técnico,025-A,06/01/2018,Enero,Coquimbo,No value,Río Hurtado,Meteorológica,Evento meterológico,025-C,09/01/2018,1,Evento meteorológico
CPL,Técnico,025-A,06/01/2018,Enero,Coquimbo,No value,Monte Patria,Meteorológica,Evento meterológico,025-C,09/01/2018,1,Evento meteorológico
CPL,Técnico,025-A,06/01/2018,Enero,Coquimbo,No value,Combarbalá,Meteorológica,Evento meterológico,025-C,09/01/2018,1,Evento meteorológico
CPL,Técnico,025-A,06/01/2018,Enero,Coquimbo,No value,Salamanca,Meteorológica,Evento meterológico,025-C,09/01/2018,1,Evento meteorológico
CPL,Técnico,028,07/01/2018,Enero,Metropolitana,No value,-,Meteorológica,Evento meterológico,028-B,09/01/2018,1,Evento meteorológico
CPL,Técnico,029,07/01/2018,Enero,Valparaíso,No value,-,Meteorológica,Evento meterológico,029-A,09/01/2018,2,Evento meteorológico
CPL,Técnico,029,07/01/2018,Enero,Valparaíso,No value,-,Meteorológica,Evento meterológico,029-A,09/01/2018,2,Evento meteorológico
CPL,Técnico,029,07/01/2018,Enero,Valparaíso,No value,Petorca,Meteorológica,Evento meterológico,029-A,09/01/2018,1,Evento meteorológico
CPL,Técnico,029,07/01/2018,Enero,Valparaíso,No value,Cabildo,Meteorológica,Evento meterológico,029-A,09/01/2018,1,Evento meteorológico
CPL,Técnico,030,07/01/2018,Enero,Magallanes,No value,-,Meteorológica,Evento meterológico,030-A,08/01/2018,2,Evento meteorológico
CPL,Técnico,030,07/01/2018,Enero,Magallanes,No value,-,Meteorológica,Evento meterológico,030-A,08/01/2018,2,Evento meteorológico
CPL,Técnico,031,07/01/2018,Enero,Valparaíso,No value,Cartagena,Forestal,Incendio forestal,031-C,09/01/2018,1,Incendio forestal
BCG,Técnico,017-A,08/01/2018,Enero,La Araucanía,No value,-,Forestal,Altas temperaturas (alta probabilidad para la propagación de incendios forestales),017-E,06/02/2018,3,Altas temperaturas (alta probabilidad para la propagación de incendios forestales)
CPL,Técnico,032,08/01/2018,Enero,Valparaíso,No value,San Antonio,Forestal,Incendio forestal,032-B,08/01/2018,1,Incendio forestal
CPL,Técnico,035,08/01/2018,Enero,Tarapacá,No value,-,Meteorológica,Evento meterológico,035-A,13/01/2018,2,Evento meteorológico
CPL,Técnico,031-C,09/01/2018,Enero,Valparaíso,No value,Cartagena,Forestal,Incendio forestal,031-D,10/01/2018,1,Incendio forestal
CPL,Técnico,041,10/01/2018,Enero,Metropolitana,No value,Melipilla,Forestal,Incendio forestal,041-A,11/01/2018,1,Incendio forestal
CPL,Técnico,042,10/01/2018,Enero,Metropolitana,No value,San José de Maipo,Meteorológica,Evento meterológico,042-B,15/01/2018,1,Evento meteorológico
