PUBLICATION|LANDSLIDES|EVENT_DATE|COMMENTS|REFERENCES
Gorum2014|517|2007-04-21 13:53:00|This inventory includes landslides triggered by a sequence of earthquakes rather than a single mainshock.|Gorum, T., Korup, O., van Westen, C.J., van der Meijde, M., Xu, C., and van der Meer, F.D., 2014, Why so few? Landslides triggered by the 2002 Denali earthquake, Alaska: Quaternary Science Reviews, v. 95, p. 80-94, doi: 10.1016/j.quascirev.2014.04.032.
Sepulveda2010|538|2007-04-21 13:53:00|The landslides included rock slides and avalanches, rock falls, shallow soil and soil–rock slides, and debris flows.|Sepulveda, S., A. Serey, M. Lara, A. Pavez, and S. Rebolledo (2010), Landslides induced by the April 2007 Aisen Fjord earthquake, Chilean Patagonia, Landslides, 7(4), 483-492, doi:10.1007/s10346-010-0203-2
